player_id,player_name,Attack,Attacking Midfield,Central Midfield,Centre-Back,Centre-Forward,Defender,Defensive Midfield,Goalkeeper,Left Midfield,Left Winger,Left-Back,Right Midfield,Right Winger,Right-Back,Second Striker,Sweeper,midfield
599413,Evgeniy Kuznetsov,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
599414,Denis Pokroev,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
599421,Sergey Mizgirev,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599423,Nikita Grechnikov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599443,Kyriakos Kolliakos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599450,Nikita Babich,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599451,Yuriy Yudin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599462,Ibragim Katinovasov,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
599471,Stephen Payne,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
599483,Júlio Alves,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
599551,Dimitrios Glotsos,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
599585,Christoffer Bergmann,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599589,Lewis Budinauckas,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
599590,Ryan Muir,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
599591,João Balde,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599592,Euan Deveney,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
599594,Matty Yates,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
599598,Peter Nemec,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
599600,Cristian Dumitru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599613,Lukas Hasalik,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
599616,Mads Bager,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599623,Yaroslav Andreev,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
599625,Roman Sorokin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599633,Orestis Nikiforos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
599634,Marius Elvius,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0
599638,Alhaji Faye,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599639,Andreas Falster,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599641,Benjamin Lauridsen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599656,Aleksey Maksimov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
599659,Egor Aleksandrov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599660,Anton Pfening,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599663,Faris Moumbagna,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
599666,Maksim Kryukov,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
599677,Mads Winther,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
599686,Isaac Atanga,0,0,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0
599687,Thor Höholt,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0
599718,Oskar Stentoft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599739,Xavier Simons,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599768,Kieran Jack,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
599769,Oleg Fadeev,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
599770,Dmitriy Savin,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
599778,Ilya Antsiferov,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
599780,Dmitriy Kretinin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
599781,Vladimir Mezinov,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
599782,Aleksandr Akulov,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
599801,Jack Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
599847,Chico Teixeira,0,1,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0
599879,Marrony,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
599885,Spyros Odemisiotis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599890,Carlos Felipe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599894,Marcos Álvarez,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
599898,Pablo Margallo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600000,Nikita Khodorchenko,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
600002,Andriy Savitskyi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600003,Dmytro Kasimov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600007,Kyrylo Pavlyuk,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
600008,Igor Karpenko,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
600009,Oleksandr Maksymenko,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0
600010,Aleksey Shlyakhov,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600011,Dmitriy Chebotaryov,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
600018,Jonas Berwald,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600020,Vaios Vagenas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600024,Artem Eliseev,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600030,Erik Karapetyan,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
600034,Zaurbek Kardanov,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0
600036,Stanislav Doroshenko,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600151,Florent Poulolo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
600161,Matt Niven,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
600222,Jetmir Topalli,0,0,0,0,3,0,0,0,0,6,0,0,12,0,0,0,0
600314,Konstantin Antipov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600336,Nikita Turkin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
600373,Lucas Pillich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600407,Niclas Walther,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600426,Max Roscher,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600427,Kantemir Khagurov,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600428,Danila Kravchenko,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
600431,Abdurakhman Akhilgov,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
600457,Cheikh Diop,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600458,Artur Karpov,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600459,Islam Akaev,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600460,Khadzhimurad Gadzhiev,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
600461,Raul Shikhaev,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
600463,Zalimkhan Yusupov,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600464,David Kobesov,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0
600465,Georgiy Kodzaev,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600466,Khetag Kochiev,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
600481,Alhassan Yusuf,0,2,20,0,0,0,24,0,1,0,0,6,0,0,0,0,0
600547,Kamil Ibragimov,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0
600557,Daniil Ivankov,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
600558,Denis Kutepov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600615,Theocharis Pozatzidis,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
600686,Sergey Sorokin,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
600695,Ilya Vasiljev,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
600696,Ilya Arkhipov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600808,Denis Perfilov,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
600809,Tasoltan Dzhikaev,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600810,Semen Zamyshlyaev,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600817,Ciaren Chalmers,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
600870,Marcelo Machado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
600874,Manny Duku,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
600936,Luca Moro,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
601031,Rafael Muradyan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
601037,Niek den Heeten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
601057,Anthony Goelzer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
601092,Masaki Murata,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
601110,Ilya Kochergin,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
601159,Hamish MacLeod,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
601165,Diego Ceballos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
