player_id,name,goals,assists,yellow_cards,red_cards,minutes
5293.0,Sébastien Squillaci,5,3,17,0,8820
5299.0,Ludovic Giuly,1,1,1,0,1530
5300.0,Jérôme Rothen,3,9,3,1,2520
5303.0,Souleymane Camara,31,19,8,0,19710
5308.0,Cédric Carrasso,2,0,6,0,16020
5336.0,Anastasios Tsokanis,7,6,48,0,25740
5338.0,Rémy Vercoutre,1,0,8,1,17100
5339.0,Jérémie Bréchet,2,1,7,0,5040
5348.0,Florent Balmont,5,22,49,2,19710
5376.0,Camel Meriem,2,3,0,0,2160
5399.0,Kamel Chafni,2,2,6,0,2790
5404.0,Jérémy Mathieu,23,8,36,2,22770
5406.0,Benoît Pedretti,4,8,14,2,6750
5409.0,0,1,0,0,0,0
5418.0,Jean-Alain Boumsong,1,1,4,0,1710
5419.0,0,1,0,0,0,0
5422.0,Philippe Mexès,8,3,44,1,8100
5431.0,Pantxi Sirieix,2,2,4,0,5220
5438.0,Olivier Kapo,2,5,2,0,1710
5439.0,Nicolas Marin,4,8,8,2,4860
5451.0,Alaeddine Yahia,5,0,14,2,6750
5452.0,Steeve Joseph-Reinette,1,1,2,0,1350
5457.0,Gaël Danic,15,22,22,0,11880
5461.0,Florent Malouda,10,14,11,0,5130
5470.0,Charles Itandje,1,0,9,0,12330
5474.0,Zoumana Camara,1,0,1,0,2430
5477.0,Rod Fanni,6,8,17,2,11070
5486.0,Seydou Keita,5,1,14,1,6930
5495.0,John Utaka,19,12,8,1,7020
5507.0,Mario Yepes,1,0,16,1,3960
5513.0,Jérémy Toulalan,2,3,38,0,16290
5516.0,Wilfried Dalmat,2,0,4,0,990
5518.0,Ariza Makukula,4,0,1,0,1890
5521.0,Grégory Pujol,17,4,5,0,6210
5543.0,Cédric Varrault,4,0,5,1,3870
5544.0,Johan Audel,6,5,6,0,5760
5568.0,0,8,8,0,0,0
5574.0,Bartholomew Ogbeche,40,9,14,1,9000
5576.0,Fabien Audard,1,0,5,2,5220
5578.0,Nicolas Penneteau,1,0,9,1,22230
5588.0,Michael Essien,3,1,16,0,7020
5597.0,Chaouki Ben Saada,1,1,4,0,3060
5614.0,Cédric Kanté,1,1,6,1,4410
5627.0,Fabrice Ehret,2,1,2,1,2070
5630.0,0,3,2,0,0,0
5636.0,Matthieu Delpierre,2,2,5,0,3420
5639.0,José Saez,4,0,2,0,2610
5645.0,Benoît Cheyrou,4,2,10,0,5580
5648.0,Jean Makoun,7,12,17,0,8280
5652.0,Marc-Antoine Fortuné,3,3,2,1,1980
5658.0,Petr Cech,1,0,7,0,22860
5664.0,Arnaud Le Lan,1,1,0,1,1170
5667.0,Sébastien Puygrenier,7,0,6,1,3960
5668.0,Anthony Réveillère,2,5,4,0,6300
5672.0,Étienne Didot,7,17,31,0,17460
5676.0,Olivier Sorlin,1,5,19,0,9270
5680.0,Toifilou Maoulida,6,2,3,0,3330
5686.0,Laurent Pionnier,1,0,0,0,5760
5698.0,Cédric Barbosa,13,11,19,0,7830
5712.0,Bertrand Robert,3,5,1,0,2430
5755.0,Emiliano Moretti,6,8,45,0,20880
5782.0,Emre Belözoglu,32,36,65,2,19800
5793.0,Giovanni Pasquale,2,4,12,0,6120
